,name,author,stars,ratings,goodreads_score,goodreads_link,get_copy,page_count,published_date,amazon_link
66,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,4.47,9117456,480886,https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone,https://www.goodreads.com/book/3.Harry_Potter_and_the_Sorcerer_s_Stone/get_a_copy,309.0,"June 26, 1997",https://www.goodreads.com/book_link/follow/1?book_id=3&source=compareprices
67,"Dune (Dune, #1)",Frank Herbert,4.26,1173255,477347,https://www.goodreads.com/book/show/44767458-dune,https://www.goodreads.com/book/44767458-dune/get_a_copy,658.0,"June 1, 1965",https://www.goodreads.com/book_link/follow/1?book_id=44767458&source=compareprices
68,The Stand,Stephen King,4.34,713873,428217,https://www.goodreads.com/book/show/149267.The_Stand,https://www.goodreads.com/book/149267.The_Stand/get_a_copy,1152.0,"January 1, 1978",https://www.goodreads.com/book_link/follow/1?book_id=149267&source=compareprices
69,Catch-22,Joseph Heller,3.99,797691,425796,https://www.goodreads.com/book/show/168668.Catch_22,https://www.goodreads.com/book/168668.Catch_22/get_a_copy,453.0,"November 10, 1961",https://www.goodreads.com/book_link/follow/1?book_id=168668&source=compareprices
70,The Bell Jar,Sylvia Plath,4.04,802959,417083,https://www.goodreads.com/book/show/6514.The_Bell_Jar,https://www.goodreads.com/book/6514.The_Bell_Jar/get_a_copy,294.0,"January 1, 1963",https://www.goodreads.com/book_link/follow/1?book_id=6514&source=compareprices
71,Matilda,Roald Dahl,4.33,855444,414412,https://www.goodreads.com/book/show/39988.Matilda,https://www.goodreads.com/book/39988.Matilda/get_a_copy,240.0,"October 1, 1988",https://www.goodreads.com/book_link/follow/1?book_id=39988&source=compareprices
72,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.58,3725720,413618,https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban,https://www.goodreads.com/book/5.Harry_Potter_and_the_Prisoner_of_Azkaban/get_a_copy,435.0,"July 8, 1999",https://www.goodreads.com/book_link/follow/1?book_id=5&source=compareprices
73,"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,4.33,724199,413280,https://www.goodreads.com/book/show/5043.The_Pillars_of_the_Earth,https://www.goodreads.com/book/5043.The_Pillars_of_the_Earth/get_a_copy,976.0,"October 1, 1989",https://www.goodreads.com/book_link/follow/1?book_id=5043&source=compareprices
74,"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,4.3,281444,408472,https://www.goodreads.com/book/show/3590.The_Adventures_of_Sherlock_Holmes,https://www.goodreads.com/book/3590.The_Adventures_of_Sherlock_Holmes/get_a_copy,389.0,"October 14, 1892",https://www.goodreads.com/book_link/follow/1?book_id=3590&source=compareprices
75,"Watership Down (Watership Down, #1)",Richard  Adams,4.08,464757,393559,https://www.goodreads.com/book/show/76620.Watership_Down,https://www.goodreads.com/book/76620.Watership_Down/get_a_copy,478.0,"November 1, 1972",https://www.goodreads.com/book_link/follow/1?book_id=76620&source=compareprices
76,Great Expectations,Charles Dickens,3.79,753391,389600,https://www.goodreads.com/book/show/2623.Great_Expectations,https://www.goodreads.com/book/2623.Great_Expectations/get_a_copy,544.0,"December 1, 1860",https://www.goodreads.com/book_link/follow/1?book_id=2623&source=compareprices
77,Rebecca,Daphne du Maurier,4.24,572853,382272,https://www.goodreads.com/book/show/17899948-rebecca,https://www.goodreads.com/book/17899948-rebecca/get_a_copy,449.0,"January 1, 1938",https://www.goodreads.com/book_link/follow/1?book_id=17899948&source=compareprices
78,"Outlander (Outlander, #1)",Diana Gabaldon,4.25,977556,371994,https://www.goodreads.com/book/show/10964.Outlander,https://www.goodreads.com/book/10964.Outlander/get_a_copy,850.0,"June 1, 1991",https://www.goodreads.com/book_link/follow/1?book_id=10964&source=compareprices
79,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.16,3003367,371332,https://www.goodreads.com/book/show/2429135.The_Girl_with_the_Dragon_Tattoo,https://www.goodreads.com/book/2429135.The_Girl_with_the_Dragon_Tattoo/get_a_copy,480.0,"August 1, 2005",https://www.goodreads.com/book_link/follow/1?book_id=2429135&source=compareprices
80,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.38,2659021,369136,https://www.goodreads.com/book/show/61215351-the-fellowship-of-the-ring,https://www.goodreads.com/book/61215351-the-fellowship-of-the-ring/get_a_copy,432.0,"July 29, 1954",https://www.goodreads.com/book_link/follow/1?book_id=61215351&source=compareprices
81,One Flew Over the Cuckoo's Nest,Ken Kesey,4.2,698678,368791,https://www.goodreads.com/book/show/332613.One_Flew_Over_the_Cuckoo_s_Nest,https://www.goodreads.com/book/332613.One_Flew_Over_the_Cuckoo_s_Nest/get_a_copy,325.0,"January 1, 1962",https://www.goodreads.com/book_link/follow/1?book_id=332613&source=compareprices
82,The Color Purple,Alice Walker,4.25,623772,361004,https://www.goodreads.com/book/show/52892857-the-color-purple,https://www.goodreads.com/book/52892857-the-color-purple/get_a_copy,304.0,"June 1, 1982",https://www.goodreads.com/book_link/follow/1?book_id=52892857&source=compareprices
83,My Sister's Keeper,Jodi Picoult,4.09,1166244,357624,https://www.goodreads.com/book/show/10917.My_Sister_s_Keeper,https://www.goodreads.com/book/10917.My_Sister_s_Keeper/get_a_copy,423.0,"April 6, 2004",https://www.goodreads.com/book_link/follow/1?book_id=10917&source=compareprices
84,Anna Karenina,Leo Tolstoy,4.08,788118,345186,https://www.goodreads.com/book/show/15823480-anna-karenina,https://www.goodreads.com/book/15823480-anna-karenina/get_a_copy,964.0,"January 1, 1878",https://www.goodreads.com/book_link/follow/1?book_id=15823480&source=compareprices
85,The Brothers Karamazov,Fyodor Dostoevsky,4.35,294651,328584,https://www.goodreads.com/book/show/4934.The_Brothers_Karamazov,https://www.goodreads.com/book/4934.The_Brothers_Karamazov/get_a_copy,796.0,"November 18, 1879",https://www.goodreads.com/book_link/follow/1?book_id=4934&source=compareprices
86,A Tree Grows in Brooklyn,Betty  Smith,4.29,437511,328219,https://www.goodreads.com/book/show/14891.A_Tree_Grows_in_Brooklyn,https://www.goodreads.com/book/14891.A_Tree_Grows_in_Brooklyn/get_a_copy,496.0,"August 18, 1943",https://www.goodreads.com/book_link/follow/1?book_id=14891&source=compareprices
87,A Clockwork Orange,Anthony Burgess,4.0,674624,322924,https://www.goodreads.com/book/show/41817486-a-clockwork-orange,https://www.goodreads.com/book/41817486-a-clockwork-orange/get_a_copy,240.0,"January 1, 1962",https://www.goodreads.com/book_link/follow/1?book_id=41817486&source=compareprices
88,The Road,Cormac McCarthy,3.98,828199,317346,https://www.goodreads.com/book/show/6288.The_Road,https://www.goodreads.com/book/6288.The_Road/get_a_copy,241.0,"September 26, 2006",https://www.goodreads.com/book_link/follow/1?book_id=6288&source=compareprices
89,"Angela's Ashes (Frank McCourt, #1)",Frank McCourt,4.14,603475,300159,https://www.goodreads.com/book/show/252577.Angela_s_Ashes,https://www.goodreads.com/book/252577.Angela_s_Ashes/get_a_copy,452.0,"September 5, 1996",https://www.goodreads.com/book_link/follow/1?book_id=252577&source=compareprices
90,"Vampire Academy (Vampire Academy, #1)",Richelle Mead,4.11,622658,297586,https://www.goodreads.com/book/show/345627.Vampire_Academy,https://www.goodreads.com/book/345627.Vampire_Academy/get_a_copy,332.0,"August 16, 2007",https://www.goodreads.com/book_link/follow/1?book_id=345627&source=compareprices
91,Siddhartha,Hermann Hesse,4.06,708441,296007,https://www.goodreads.com/book/show/52036.Siddhartha,https://www.goodreads.com/book/52036.Siddhartha/get_a_copy,152.0,"January 1, 1922",https://www.goodreads.com/book_link/follow/1?book_id=52036&source=compareprices
92,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.01,1452230,293745,https://www.goodreads.com/book/show/119322.The_Golden_Compass,https://www.goodreads.com/book/119322.The_Golden_Compass/get_a_copy,399.0,"July 1, 1995",https://www.goodreads.com/book_link/follow/1?book_id=119322&source=compareprices
93,The Poisonwood Bible,Barbara Kingsolver,4.08,711415,282328,https://www.goodreads.com/book/show/7244.The_Poisonwood_Bible,https://www.goodreads.com/book/7244.The_Poisonwood_Bible/get_a_copy,546.0,"September 24, 1998",https://www.goodreads.com/book_link/follow/1?book_id=7244&source=compareprices
